Age,Gender,Income (AED),Employment Status,Location in Dubai,Skincare Purchase Frequency,Average Monthly Spend (AED),Skincare Products Used,Purchase Influencers,Skin Concerns,Follow Influencer Recommendations,Trusted Influencer Tier,Preferred Platform,Persuasive Ad Format,Browse Time,Purchased After Influencer Promotion,Max Willingness to Spend (AED),Willingness to Try New Brand,Purchase Discouragement Factors,Number of Skincare Influencers Followed,Interest in Curated Skincare Box,Willing to Pay Premium,One Platform for Shopping Inspiration,Influencer Marketing Trust Score (1–5),Favorite Influencer or Brand
33,Female,"Below 5,000",Student,Other,Weekly,66,"Face Masks, Anti-aging Products","Social Media Influencers, Brand","Acne, Oily Skin",Often,Macro,Facebook,Story,Afternoon,Yes,129,Neutral,"Too Many Promotions, Lack of Trust, Price Too High",11–20,Yes,Depends on brand & value,TikTok,4,Christina Beauty
28,Male,"10,000–20,000",Working Professional,Bur Dubai,Monthly,59,"Face Masks, Serums, Anti-aging Products","Friends & Family, Dermatologist Recommendations, Packaging","Acne, Oily Skin, Dryness, Wrinkles",Sometimes,Mega,Instagram,Short Reels,Evening,Yes,104,Likely,"Too Many Promotions, Lack of Trust",1–5,Maybe,Yes,Instagram,3,Randy Beauty
35,Male,"10,000–20,000",Working Professional,Bur Dubai,Weekly,141,"Face Masks, Moisturizers","Social Media Influencers, Price","Wrinkles, Uneven Tone, Oily Skin, Dark Spots",Often,Micro,Facebook,Short Reels,Afternoon,No,113,Likely,"Price Too High, Too Many Promotions",11–20,No,No,TikTok,5,Victoria Beauty
42,Male,"35,000 and above",Working Professional,Dubai Marina,Monthly,160,"Sunscreens, Moisturizers, Cleansers, Serums","Product Reviews, Dermatologist Recommendations, Price","Oily Skin, Uneven Tone",Sometimes,Macro,Instagram,Short Reels,Evening,Yes,149,Very Unlikely,"No Visible Results, Not Suitable for My Skin, Price Too High",11–20,No,Yes,TikTok,3,Amanda Beauty
28,Female,"10,000–20,000",Student,Dubai Marina,Quarterly,52,"Serums, Cleansers","Product Reviews, Friends & Family","Wrinkles, Dark Spots, Acne, Uneven Tone",Rarely,Macro,Instagram,Story,Evening,No,294,Neutral,Too Many Promotions,None,No,Yes,Instagram,5,Kevin Beauty
28,Female,"10,000–20,000",Unemployed,Jumeirah,Quarterly,297,"Moisturizers, Face Masks, Serums, Anti-aging Products","Brand, Price, Packaging","Dark Spots, Acne, Uneven Tone, Wrinkles",Rarely,Micro,TikTok,Story,Evening,Yes,201,Neutral,Too Many Promotions,6–10,Maybe,Yes,TikTok,3,Dennis Beauty
42,Female,"5,000–10,000",Homemaker,Downtown,Quarterly,54,"Sunscreens, Anti-aging Products","Dermatologist Recommendations, Friends & Family, Packaging",Dryness,Often,Micro,TikTok,Full-Length Video,Afternoon,No,186,Very Unlikely,"Too Many Promotions, Lack of Trust, Not Suitable for My Skin",1–5,Yes,No,Instagram,3,Jon Beauty
36,Male,"5,000–10,000",Unemployed,Downtown,Monthly,120,"Anti-aging Products, Moisturizers, Cleansers, Sunscreens","Social Media Influencers, Dermatologist Recommendations",Dryness,Always,None,TikTok,Story,Afternoon,No,141,Likely,"Not Suitable for My Skin, Too Many Promotions",6–10,Yes,Depends on brand & value,Instagram,3,David Beauty
26,Male,"20,000–35,000",Working Professional,Other,Monthly,161,"Anti-aging Products, Sunscreens","Price, Dermatologist Recommendations","Uneven Tone, Acne",Sometimes,Macro,Instagram,Short Reels,Late Night,No,422,Likely,"Too Many Promotions, No Visible Results",11–20,Yes,Depends on brand & value,TikTok,2,Melanie Beauty
34,Male,"10,000–20,000",Working Professional,Dubai Marina,Monthly,234,"Cleansers, Sunscreens, Face Masks","Price, Brand",Uneven Tone,Sometimes,Mega,Instagram,Short Reels,Evening,Yes,160,Very Likely,Too Many Promotions,1–5,Yes,No,Instagram,2,Michelle Beauty
26,Male,"10,000–20,000",Working Professional,Dubai Marina,Weekly,162,"Face Masks, Sunscreens, Cleansers, Serums","Dermatologist Recommendations, Friends & Family","Dryness, Wrinkles, Uneven Tone, Acne",Rarely,Celebrity,TikTok,Static Image Post,Afternoon,Yes,110,Unlikely,Too Many Promotions,11–20,Yes,No,YouTube,4,Regina Beauty
26,Female,"10,000–20,000",Unemployed,Downtown,Monthly,195,"Sunscreens, Anti-aging Products, Serums, Face Masks","Social Media Influencers, Dermatologist Recommendations","Uneven Tone, Acne, Oily Skin, Wrinkles",Rarely,Micro,Instagram,Short Reels,Morning,Yes,215,Neutral,"Lack of Trust, Not Suitable for My Skin, Too Many Promotions",1–5,Maybe,Depends on brand & value,YouTube,5,Xavier Beauty
31,Male,"10,000–20,000",Unemployed,Jumeirah,Monthly,87,"Face Masks, Cleansers, Moisturizers, Anti-aging Products","Packaging, Price","Oily Skin, Dark Spots, Wrinkles, Uneven Tone",Sometimes,Macro,YouTube,Short Reels,Morning,No,114,Unlikely,"Lack of Trust, Not Suitable for My Skin",None,No,Yes,Instagram,5,Mandy Beauty
18,Male,"Below 5,000",Working Professional,Deira,Quarterly,201,"Sunscreens, Serums, Face Masks","Social Media Influencers, Brand, Product Reviews","Wrinkles, Dryness, Dark Spots",Often,Macro,Facebook,Static Image Post,Morning,No,150,Very Unlikely,"No Visible Results, Lack of Trust, Too Many Promotions",None,Yes,Yes,YouTube,2,Sarah Beauty
18,Female,"20,000–35,000",Business Owner,Other,Quarterly,57,"Anti-aging Products, Moisturizers","Product Reviews, Packaging","Wrinkles, Dryness, Oily Skin",Rarely,Macro,YouTube,Static Image Post,Afternoon,No,184,Likely,Too Many Promotions,6–10,Yes,No,Instagram,4,Wayne Beauty
25,Female,"5,000–10,000",Working Professional,Dubai Marina,Monthly,252,"Moisturizers, Serums, Sunscreens","Price, Product Reviews","Uneven Tone, Dark Spots, Dryness",Sometimes,Macro,YouTube,Short Reels,Afternoon,Yes,348,Very Likely,"Price Too High, Lack of Trust",6–10,No,Depends on brand & value,TikTok,2,Brittany Beauty
21,Male,"5,000–10,000",Working Professional,Bur Dubai,Monthly,121,"Serums, Cleansers, Sunscreens","Product Reviews, Packaging, Friends & Family","Dark Spots, Dryness, Wrinkles",Sometimes,Macro,YouTube,Short Reels,Evening,Yes,181,Neutral,No Visible Results,6–10,No,Depends on brand & value,TikTok,1,Kimberly Beauty
32,Female,"10,000–20,000",Student,Bur Dubai,Quarterly,202,"Anti-aging Products, Sunscreens, Cleansers, Serums","Price, Friends & Family","Acne, Oily Skin, Uneven Tone, Dark Spots",Often,Micro,Instagram,Full-Length Video,Evening,Yes,245,Likely,"Not Suitable for My Skin, Lack of Trust",None,Yes,Yes,Instagram,4,William Beauty
22,Female,"Below 5,000",Working Professional,Deira,Quarterly,104,"Anti-aging Products, Sunscreens, Face Masks, Cleansers","Product Reviews, Friends & Family","Uneven Tone, Acne",Rarely,Micro,TikTok,Story,Afternoon,Yes,692,Very Unlikely,"Too Many Promotions, No Visible Results, Lack of Trust",1–5,Maybe,Yes,YouTube,4,Miguel Beauty
18,Male,"20,000–35,000",Business Owner,Dubai Marina,Monthly,142,"Sunscreens, Cleansers","Friends & Family, Product Reviews, Brand",Oily Skin,Rarely,Macro,Facebook,Full-Length Video,Late Night,Yes,116,Very Likely,"Price Too High, Not Suitable for My Skin",1–5,Yes,No,Instagram,2,Kaitlyn Beauty
41,Female,"5,000–10,000",Working Professional,Other,Weekly,117,"Serums, Face Masks, Moisturizers","Product Reviews, Dermatologist Recommendations","Dryness, Acne",Sometimes,Celebrity,YouTube,Short Reels,Morning,No,138,Very Likely,"Too Many Promotions, Lack of Trust",More than 20,Yes,Depends on brand & value,Instagram,1,Mark Beauty
28,Female,"5,000–10,000",Homemaker,Dubai Marina,Weekly,168,"Face Masks, Serums, Moisturizers, Sunscreens","Price, Brand","Oily Skin, Acne, Wrinkles, Dark Spots",Always,Micro,YouTube,Static Image Post,Evening,No,160,Very Likely,"Lack of Trust, Price Too High",6–10,Yes,Yes,TikTok,5,Susan Beauty
30,Male,"20,000–35,000",Working Professional,Other,Monthly,57,"Sunscreens, Anti-aging Products","Price, Friends & Family, Packaging","Wrinkles, Dryness, Acne, Dark Spots",Sometimes,Celebrity,YouTube,Static Image Post,Evening,No,165,Likely,"Price Too High, Too Many Promotions, No Visible Results",11–20,Maybe,Depends on brand & value,TikTok,1,Jonathan Beauty
18,Male,"5,000–10,000",Business Owner,Dubai Marina,Monthly,55,"Cleansers, Sunscreens, Serums, Anti-aging Products","Packaging, Friends & Family, Social Media Influencers","Oily Skin, Acne",Often,Micro,Instagram,Static Image Post,Evening,Yes,163,Neutral,"No Visible Results, Price Too High",None,No,No,YouTube,4,Lee Beauty
25,Prefer not to say,"5,000–10,000",Homemaker,Dubai Marina,Quarterly,75,"Moisturizers, Sunscreens, Serums","Friends & Family, Dermatologist Recommendations, Packaging","Oily Skin, Dark Spots",Sometimes,Mega,YouTube,Story,Afternoon,No,385,Neutral,Lack of Trust,More than 20,Yes,Depends on brand & value,TikTok,4,Alicia Beauty
30,Male,"35,000 and above",Unemployed,Downtown,Monthly,65,"Moisturizers, Face Masks, Sunscreens","Price, Brand, Product Reviews","Wrinkles, Oily Skin, Dark Spots, Uneven Tone",Sometimes,Macro,Instagram,Static Image Post,Afternoon,No,250,Very Unlikely,"Too Many Promotions, No Visible Results",6–10,Yes,No,YouTube,2,Christopher Beauty
